gvkey,conm,tic,exchg,cusip,fic,sic,costat,fyear,fyr,datadate,at,lt,sale,ebitda,ppent,dp,che,dvc,ni,dltt,dlc
010504,TEXAS PACIFIC LAND CORP,TPL,11,88262P102,USA,6792,A,2004,12,2004-12-31,31.149,8.444,29.068,25.738,0.077,0.038,5.943,4.961,17.413,0.0,0.0
010504,TEXAS PACIFIC LAND CORP,TPL,11,88262P102,USA,6792,A,2005,12,2005-12-31,32.305,7.691,15.162,11.956,0.092,0.029,9.627,1.203,8.513,0.0,0.0
010507,ENERGY FUTURE HOLDINGS CORP,TXU,11,873168108,USA,4911,I,2000,12,2000-12-31,44990.0,36813.0,22009.0,3691.0,23301.0,1214.0,1039.0,625.0,930.0,16775.0,6066.0
010507,ENERGY FUTURE HOLDINGS CORP,TXU,11,873168108,USA,4911,I,2001,12,2001-12-31,42275.0,34108.0,27927.0,3506.0,22480.0,1221.0,1161.0,625.0,691.0,16838.0,4530.0
010507,ENERGY FUTURE HOLDINGS CORP,TXU,11,873168108,USA,4911,I,2002,12,2002-12-31,30891.0,25614.0,10034.0,2437.0,19642.0,858.0,1574.0,533.0,-4197.0,12215.0,3179.0
010507,ENERGY FUTURE HOLDINGS CORP,TXU,11,873168108,USA,4911,I,2003,12,2003-12-31,31686.0,25654.0,11008.0,2832.0,20920.0,886.0,887.0,160.0,591.0,13516.0,774.0
010507,ENERGY FUTURE HOLDINGS CORP,TXU,11,873168108,USA,4911,I,2004,12,2004-12-31,23241.0,22564.0,9308.0,2574.0,16676.0,760.0,155.0,251.0,-362.0,12412.0,439.0
010507,ENERGY FUTURE HOLDINGS CORP,TXU,11,873168108,USA,4911,I,2005,12,2005-12-31,25539.0,25064.0,10437.0,3831.0,17192.0,776.0,91.0,598.0,1725.0,11332.0,2048.0
010508,ENERGY FUTURE COMPETITIVE,0032A,0,292680006,USA,4911,I,2000,12,2000-12-31,18816.0,11916.0,7404.0,2315.0,15324.0,609.0,21.0,0.0,895.0,5868.0,522.0
010508,ENERGY FUTURE COMPETITIVE,0032A,0,292680006,USA,4911,I,2001,12,2001-12-31,18521.0,11763.0,7553.0,2329.0,15468.0,619.0,34.0,0.0,728.0,5586.0,899.0
010508,ENERGY FUTURE COMPETITIVE,0032A,0,292680006,USA,4911,I,2002,12,2002-12-31,24519.0,17796.0,8140.0,2225.0,16183.0,702.0,1508.0,1177.0,361.0,6613.0,2988.0
010508,ENERGY FUTURE COMPETITIVE,0032A,0,292680006,USA,4911,I,2003,12,2003-12-31,23493.0,17173.0,8582.0,2327.0,16714.0,706.0,818.0,550.0,660.0,7714.0,940.0
010508,ENERGY FUTURE COMPETITIVE,0032A,0,292680006,USA,4911,I,2004,12,2004-12-31,23963.0,17552.0,9294.0,2773.0,16529.0,739.0,119.0,562.0,660.0,8082.0,428.0
010508,ENERGY FUTURE COMPETITIVE,0032A,0,292680006,USA,4911,I,2005,12,2005-12-31,,,,,,,,,,,
010509,TEXAS VANGUARD OIL CO,,,,USA,1311,I,2000,12,2000-12-31,7.524,5.296,4.384,1.639,3.033,1.267,4.348,0.0,0.169,0.691,3.944
010509,TEXAS VANGUARD OIL CO,,,,USA,1311,I,2001,12,2001-12-31,6.691,4.702,4.576,0.725,2.434,1.266,4.041,0.0,-0.239,0.24,4.139
010509,TEXAS VANGUARD OIL CO,,,,USA,1311,I,2002,12,2002-12-31,5.17,3.326,3.251,0.07,2.252,0.46,2.672,0.0,-0.144,2.0,0.94
010509,TEXAS VANGUARD OIL CO,,,,USA,1311,I,2003,12,2003-12-31,6.993,4.438,3.914,0.997,2.457,0.364,4.414,0.0,0.711,2.832,0.874
010509,TEXAS VANGUARD OIL CO,,,,USA,1311,I,2004,12,2004-12-31,7.808,4.417,5.178,1.453,2.45,0.345,5.153,0.0,0.854,3.014,0.618
010509,TEXAS VANGUARD OIL CO,,,,USA,1311,I,2005,12,2005-12-31,8.636,4.221,6.352,1.655,3.033,0.273,5.4,0.0,1.024,2.757,0.408
010519,TEXTRON INC,TXT,11,883203101,USA,3721,A,2000,12,2000-12-31,16370.0,12376.0,13090.0,2074.0,2605.0,494.0,289.0,187.0,218.0,4584.0,2679.0
010519,TEXTRON INC,TXT,11,883203101,USA,3721,A,2001,12,2001-12-31,16052.0,12118.0,12321.0,1347.0,2044.0,400.0,260.0,185.0,166.0,3694.0,3451.0
010519,TEXTRON INC,TXT,11,883203101,USA,3721,A,2002,12,2002-12-31,15505.0,12099.0,10658.0,1301.0,1981.0,352.0,307.0,179.0,-124.0,5053.0,2010.0
010519,TEXTRON INC,TXT,11,883203101,USA,3721,A,2003,12,2003-12-31,15090.0,11400.0,9859.0,1169.0,1925.0,347.0,843.0,179.0,259.0,4443.0,2017.0
010519,TEXTRON INC,TXT,11,883203101,USA,3721,A,2004,12,2004-12-31,15875.0,12223.0,10242.0,1262.0,1922.0,344.0,732.0,179.0,365.0,4178.0,2396.0
010519,TEXTRON INC,TXT,11,883203101,USA,3721,A,2005,12,2005-12-31,16499.0,13223.0,10043.0,1434.0,1574.0,288.0,796.0,187.0,203.0,4844.0,2510.0
010520,THACKERAY CORP,3THKY,20,883217101,USA,6532,I,2000,12,2000-12-31,8.907,0.397,0.0,-0.531,0.0,0.0,4.879,0.0,-2.491,0.0,0.0
010520,THACKERAY CORP,3THKY,20,883217101,USA,6532,I,2001,12,2001-12-31,5.183,0.378,0.0,-0.615,0.0,0.0,2.656,0.0,-3.552,0.0,0.0
010520,THACKERAY CORP,3THKY,20,883217101,USA,6532,I,2002,12,2002-12-31,3.978,0.369,0.0,-0.675,0.0,0.0,1.983,0.0,-1.349,0.0,0.0
010520,THACKERAY CORP,3THKY,20,883217101,USA,6532,I,2003,12,2003-12-31,3.31,0.084,0.0,-0.702,0.0,0.0,1.298,0.0,-0.383,0.0,0.0
010520,THACKERAY CORP,3THKY,20,883217101,USA,6532,I,2004,12,2004-12-31,6.504,0.122,0.0,-1.03,0.0,0.0,6.486,0.0,3.156,0.0,0.0
010525,THERMAL ENERGY STORAGE INC,THES,19,883466104,USA,8711,I,2000,12,2000-12-31,0.014,0.694,0.016,-0.022,0.0,0.0,0.011,0.0,-0.018,0.0,0.0
010525,THERMAL ENERGY STORAGE INC,THES,19,883466104,USA,8711,I,2001,12,2001-12-31,0.016,0.694,0.0,-0.001,0.0,0.0,0.013,0.0,-0.023,0.0,0.0
010525,THERMAL ENERGY STORAGE INC,THES,19,883466104,USA,8711,I,2002,12,2002-12-31,0.006,0.75,0.0,-0.017,0.0,0.0,0.004,0.0,-0.01,0.0,0.0
010525,THERMAL ENERGY STORAGE INC,THES,19,883466104,USA,8711,I,2003,12,2003-12-31,0.003,0.75,0.0,-0.012,0.0,0.0,0.001,0.0,-0.003,0.0,0.0
010525,THERMAL ENERGY STORAGE INC,THES,19,883466104,USA,8711,I,2004,12,2004-12-31,0.003,0.72,0.0,-0.002,0.0,0.0,0.001,0.0,-0.002,0.0,0.0
010530,THERMO FISHER SCIENTIFIC INC,TMO,11,883556102,USA,3826,A,2000,12,2000-12-31,4862.977,2304.264,2280.522,295.646,285.878,97.486,1026.853,0.0,-36.111,1528.483,103.356
010530,THERMO FISHER SCIENTIFIC INC,TMO,11,883556102,USA,3826,A,2001,12,2001-12-31,3825.07,1910.027,2188.21,265.425,270.712,98.521,1041.878,0.0,-0.781,727.502,528.988
010530,THERMO FISHER SCIENTIFIC INC,TMO,11,883556102,USA,3826,A,2002,12,2002-12-31,3647.062,1613.739,2086.355,273.101,272.908,56.376,875.468,0.0,309.73,451.341,484.48
010530,THERMO FISHER SCIENTIFIC INC,TMO,11,883556102,USA,3826,A,2003,12,2003-12-31,3388.969,1006.163,2097.135,292.102,300.702,58.548,418.238,0.0,200.009,229.509,45.981
010530,THERMO FISHER SCIENTIFIC INC,TMO,11,883556102,USA,3826,A,2004,12,2004-12-31,3576.725,911.175,2205.995,322.843,261.041,66.141,512.255,0.0,361.837,226.07,15.017
010530,THERMO FISHER SCIENTIFIC INC,TMO,11,883556102,USA,3826,A,2005,12,2005-12-31,4251.569,1458.257,2633.027,417.046,280.654,123.272,294.987,0.0,223.218,468.63,130.137
010532,THERMODYNETICS INC,TDYT,19,883622409,USA,6510,A,1999,3,2000-03-31,11.002,6.55,10.732,0.921,5.834,0.335,0.003,0.0,0.08,3.013,1.878
010532,THERMODYNETICS INC,TDYT,19,883622409,USA,6510,A,2000,3,2001-03-31,10.496,6.547,11.686,1.074,6.021,0.287,0.015,0.0,0.088,2.929,2.214
010532,THERMODYNETICS INC,TDYT,19,883622409,USA,6510,A,2001,3,2002-03-31,10.301,6.099,11.116,0.958,6.218,0.307,0.018,0.0,-0.175,3.489,1.483
010532,THERMODYNETICS INC,TDYT,19,883622409,USA,6510,A,2002,3,2003-03-31,10.463,5.931,11.152,1.107,6.551,0.349,0.002,0.0,0.285,3.405,1.141
010532,THERMODYNETICS INC,TDYT,19,883622409,USA,6510,A,2003,3,2004-03-31,17.345,12.389,16.504,1.549,9.758,0.598,0.002,0.0,0.295,5.932,3.569
010532,THERMODYNETICS INC,TDYT,19,883622409,USA,6510,A,2004,3,2005-03-31,16.997,15.526,24.459,-0.365,9.978,0.779,0.0,0.0,-3.609,4.981,5.282
010534,THERMWOOD CORP,TOOD,19,883672305,USA,3550,I,2000,7,2000-07-31,13.348,9.04,28.616,2.473,2.771,0.458,0.0,0.0,0.408,2.97,3.13
010534,THERMWOOD CORP,TOOD,19,883672305,USA,3550,I,2001,7,2001-07-31,12.193,8.699,24.377,0.491,2.504,0.467,0.079,0.0,-0.859,3.075,2.986
010540,THOMAS & BETTS CORP,TNB,11,884315102,USA,3640,I,2000,12,2000-12-31,2087.763,1181.853,1756.083,-123.189,425.477,94.627,218.675,64.929,-44.57,669.983,22.478
010540,THOMAS & BETTS CORP,TNB,11,884315102,USA,3640,I,2001,12,2001-12-31,1761.61,1078.325,1500.023,71.698,309.08,79.736,241.825,32.523,-146.39,618.035,54.002
010540,THOMAS & BETTS CORP,TNB,11,884315102,USA,3640,I,2002,12,2002-12-31,1619.756,995.62,1345.857,132.308,287.415,50.244,243.857,0.0,-53.027,559.982,65.126
010540,THOMAS & BETTS CORP,TNB,11,884315102,USA,3640,I,2003,12,2003-12-31,1782.625,1051.198,1322.297,119.597,303.71,50.327,389.129,0.0,42.813,551.972,133.344
010540,THOMAS & BETTS CORP,TNB,11,884315102,USA,3640,I,2004,12,2004-12-31,1755.752,854.033,1516.292,195.923,276.144,51.805,337.717,0.0,93.255,543.085,2.83
010540,THOMAS & BETTS CORP,TNB,11,884315102,USA,3640,I,2005,12,2005-12-31,1920.396,867.806,1695.383,252.399,267.026,48.404,508.896,0.0,113.408,387.155,150.804
010541,THOMAS INDUSTRIES INC,TII.1,11,884425109,USA,3560,I,2000,12,2000-12-31,308.12,90.763,188.824,31.826,39.521,7.907,13.941,4.621,30.085,40.727,7.786
010541,THOMAS INDUSTRIES INC,TII.1,11,884425109,USA,3560,I,2001,12,2001-12-31,306.714,69.001,184.382,30.227,39.77,7.881,29.5,5.162,28.17,24.938,7.788
010541,THOMAS INDUSTRIES INC,TII.1,11,884425109,USA,3560,I,2002,12,2002-12-31,491.016,176.615,240.602,36.771,91.591,10.468,18.879,5.502,32.692,104.047,10.822
010541,THOMAS INDUSTRIES INC,TII.1,11,884425109,USA,3560,I,2003,12,2003-12-31,575.044,191.689,376.774,43.206,108.35,15.207,23.933,6.369,37.314,102.673,12.973
010541,THOMAS INDUSTRIES INC,TII.1,11,884425109,USA,3560,I,2004,12,2004-12-31,621.936,95.003,410.114,46.072,114.868,16.34,267.099,6.651,114.154,7.751,1.797
010543,THOMASTON MILLS INC  -CL A,TMST.1,19,884569203,USA,2211,I,2000,6,2000-06-30,131.411,99.991,167.113,9.233,46.234,10.678,1.415,0.0,-14.642,30.44,38.672
010549,THOR INDUSTRIES INC,THO,11,885160101,USA,3716,A,2000,7,2000-07-31,282.131,86.927,893.997,64.129,33.305,4.677,77.963,0.967,36.119,0.0,0.0
