gvkey,conm,tic,exchg,cusip,fic,sic,costat,fyear,fyr,datadate,at,lt,sale,ebitda,ppent,dp,che,dvc,ni,dltt,dlc,log_assets,ebitda_margin,asset_tangibility,cash_holdings,non_debt_tax_shield,roa,book_leverage,lev
064021,HOPTO INC,HPTO,19,440271302,USA,7372,A,2002,12,2002-12-31,4.55,1.82,3.535,-4.121,0.422,1.892,1.958,,-8.793,,,1.5151272329628591,-1.1657708628005659,0.09274725274725275,0.43032967032967034,0.4158241758241758,-1.9325274725274724,0.0,0.0
020217,POSTROCK ENERGY CORP,,,,USA,1311,A,2013,12,2013-12-31,183.082,124.765,72.3,16.331,156.091,27.369,0.037,,-9.036,92.0,,5.209934139911921,0.22587828492392809,0.8525742563441518,0.0004049900629985716,0.1494903922832392,-0.049354933854775455,0.5025070733332605,0.5025070733332605
014296,MTS MEDICATION TECHNOLOGIES,MTSI.2,14,553773102,USA,3842,I,2003,3,2004-03-31,20.821,12.897,34.384,6.075,3.888,1.342,0.059,,1.98,8.68,0.516,3.0359620927730573,0.17668101442531411,0.1867345468517362,0.002833677537101964,0.06445415686086163,0.09509629700782862,0.4416694683252485,0.4416694683252485
014816,UNITRONIX CORP,UTRX,19,913287108,USA,7372,A,2010,6,2010-06-30,0.074,0.493,0.021,-0.228,,,0.067,,-0.326,,,-2.6036901857779675,-10.857142857142858,0.037037037037037035,0.9054054054054055,0.02426686217008798,-4.405405405405406,0.0,0.0
061409,DIAMOND OFFSHRE DRILLING INC,DOFSQ,19,25271C102,USA,1381,I,2011,12,2011-12-31,6964.157,2631.094,3322.419,1649.268,4667.469,398.612,1236.179,486.595,962.542,1495.823,,8.848531845148603,0.4964057814502024,0.6702130638352927,0.17750590631428903,0.0572376527410281,0.1382137134472988,0.21478881076345638,0.21478881076345638
002269,BLOCK H & R INC,HRB,11,093671105,USA,7200,A,2023,6,2023-06-30,3072.258,3040.194,3472.185,879.199,568.314,130.501,1015.316,177.785,553.7,1729.517,205.391,8.030168075116073,0.25321202643292334,0.18498251123440804,0.3304787553649466,0.04247722684748482,0.18022574926975538,0.629799971226375,0.629799971226375
039874,LOOP MEDIA INC,LTPVQ,19,54352F206,USA,7830,A,2023,9,2023-09-30,16.882,21.698,31.642,-23.82,2.712,4.015,3.068,,-31.964,2.435,5.11,2.8262479655615285,-0.7527969154920675,0.16064447340362517,0.1817320222722426,0.23782727165027837,-1.8933775619002486,0.4469257197014571,0.4469257197014571
009828,SOUTH CAROLINA ELEC & GAS CO,SCG1,,837004001,USA,4931,A,2010,12,2010-12-31,10574.0,7033.0,2815.0,875.0,8198.0,271.0,31.0,192.0,290.0,3037.0,403.0,9.266153436795395,0.3108348134991119,0.7752979005106866,0.0029317193115188196,0.025628901078116134,0.02742576130130509,0.3253262719878948,0.3253262719878948
145515,CONCENTRAX INC,CRXN,19,20589X104,USA,3663,I,2002,12,2002-12-31,0.614,0.034,0.006,-1.427,0.27,0.028,0.277,,-1.455,,,-0.4877603508349946,-93.0,0.4397394136807818,0.45114006514657984,0.04560260586319218,-2.3697068403908794,0.0,0.0
008479,PEPSICO INC,PEP,14,713448108,USA,2080,A,2005,12,2005-12-31,31727.0,17476.0,32562.0,7288.0,8681.0,1253.0,4882.0,1684.0,4078.0,2313.0,2889.0,10.364923332360709,0.22381917572630675,0.2736155325117408,0.1538752482113027,0.039493176159107385,0.1285340561666719,0.16396129479623034,0.16396129479623034
161013,BIOMED REALTY TRUST INC,BMR.1,11,09063H107,USA,6798,I,2013,12,2013-12-31,5972.601,2985.576,636.409,,,,34.706,178.009,46.644,2329.777,341.416,8.694937789898335,0.11070856853989385,0.010320582740063824,0.005810868665092479,0.008842549821829221,0.0078096628252916946,0.44724116009088843,0.44724116009088843
037824,VIANT TECHNOLOGY INC,DSP,14,92557A101,USA,7370,A,2022,12,2022-12-31,377.883,112.115,197.168,-36.129,49.547,13.131,206.573,,-11.913,24.998,3.711,5.934584623897683,-0.1832396737807352,0.13111730350399461,0.5466586218485616,0.0347488508347822,-0.03152563094926208,0.07597325097980064,0.07597325097980064
022401,BURZYNSKI RESEARCH INSTITUTE,BZYR,19,123159105,USA,2836,A,2015,2,2016-02-29,0.004,0.105,,-2.004,0.001,0.001,0.003,,-2.005,,,-3.3813947543659757,0.11070856853989385,0.25,0.75,0.25,-19.710255789250056,0.0,0.0
038248,VIRGIN ORBIT HOLDINGS INC,NGCAU,14,G65317110,USA,3480,I,2021,12,2021-12-31,331.74,118.77,7.385,-159.073,76.11,12.289,194.982,,-157.291,14.078,1.642,5.804351529577897,-21.54001354096141,0.22942665943208537,0.587755471152107,0.03704407065774402,-0.47413938626635316,0.04738650750587809,0.04738650750587809
011051,UTAH MEDICAL PRODUCTS INC,UTMD,14,917488108,USA,3845,A,2020,12,2020-12-31,111.745,8.923,42.198,20.898,11.326,7.17,51.59,4.112,10.798,0.335,0.041,4.716219489763386,0.4952367410777762,0.10135576535862902,0.46167613763479354,0.0641639446955121,0.096630721732516,0.0033648037943532147,0.0033648037943532147
009242,SUREWEST COMMUNICATIONS,SURW,14,868733106,USA,4899,I,2006,12,2006-12-31,445.75,219.974,222.745,76.437,376.421,59.778,7.066,14.57,5.738,121.831,3.642,6.09975825674325,0.3431592179397966,0.8444666292765003,0.015851934941110486,0.1341065619742008,0.012872686483454852,0.28148738081884467,0.28148738081884467
012551,EYE CARE CENTERS OF AMERICA,IPRO.1,13,302294103,USA,5990,I,2005,12,2005-12-31,529.862,367.455,406.246,62.544,50.525,16.495,17.782,0.11,-2.804,314.243,1.654,6.2726165952836075,0.15395597741270067,0.09535501696668189,0.033559681577467346,0.031130747251171063,-0.005291943940120258,0.5961873091484198,0.5961873091484198
034992,ALPINE BKS COLO,ALPIB,19,020810107,USA,6020,A,2023,12,2023-12-31,6419.559,5952.626,320.543,128.224,77.942,7.64,223.731,13.021,57.044,141.179,50.0,8.767104702735846,0.40002121400248947,0.012141332449783543,0.03485145942267997,0.0011901129033941428,0.008885968646755952,0.029780706120155605,0.029780706120155605
